content,sentiment
"Everything is getting expensive except some people, they are getting cheaper.",angry
My phone screen is brighter than my future ?,angry
Anger is a feeling that makes your mouth work than faster your mind..,angry
Sometimes the best way to get someone\’s attention is to stop giving them yours.,angry
Had you asked for my life i would have sacrificed it with a smile… but you’ve stripped me of my pride,angry
People always miss you more when they find out how much happier you are without them.,angry
"People change for one of two reasons: They have learned a lot, or they have been hurt too many times.",angry
If you fail and feels the shame then you are only few steps away from success,angry
Listen to people when they are angry because that is when the real truth comes out.,angry
"Don’t fuck with my feelings, just because you’re unsure of your own.",angry
"My feelings? Oh don’t worry about those, no one else does.",angry
A man is about as big as the things that make him angry.,angry
An angry man opens his mouth and shuts his eyes.,angry
"I didn’t text you just to exercise my fingers, I was expecting a reply back.",angry
I hate that I cry when I’m frustrated because people think I’m hurt when I’m really just trying not to kill you.,angry
"I don’t usually lose my temper, but if I get angry, it’s true I’m scary.",angry
I’m not anti-social. I’m just anti-bullshit.,angry
don’t be angry with people who don’t have the capacity to change.,angry
"My life, My choices, My problems, My mistakes, My lessons. Not your business, mind your own problems before you talk about mine.",angry
"I told you I needed you, you told me the same. I wasn’t lying, so why didn’t you tell the truth?",angry
"A fool gives full vent to his anger, but a wise man keeps himself under control.",angry
Anger is a condition in which the tongue works faster than the mind.,angry
I just don’t care if anyone doesn’t like me I wasn’t put on earth to entertain everyone.,angry
"When you stopped believing in me, I did too.",angry
Don’t get mad – Just get even.,angry
"My silence doesn’t mean that I quit, It simply means that I don’t want to argue with people who just don’t want to understand.",angry
"Don’t talk to me only when you need me, I am not here for entertainment.",angry
Don’t chat with me just when you’re bored. I am not here for entertainment.,angry
CAUTION!! I’m not in my greatest mood today.,angry
Beware!! I am in a bad mood today.,angry
Do you ever get the feeling that you would like to reach out and just choke someone?,angry
I am in a mood to kill somebody today.,angry
"When we don’t know who to hate, we hate ourselves.",angry
I’m gonna come back as a bird in my next life. There are some people who I feel deserve a little of their own medicine.,angry
There are no words to describe the anger and frustration that I am feeling right now.,angry
"When a woman cries, it’s not usually over one thing. It’s built up anger and emotions she’s been holding in for too long.",angry
I don’t have time for fake friends anymore. Either be real or be gone.,angry
And a mistake repeated more than once is a decision.,angry
I don’t allow you to treat me poorly just because I love you.,angry
Silence .. because that’s the only thing you deserve from me now.,angry
"Be careful with your words. Once they are said, they can be only forgiven, not forgotten.",angry
"Be careful with your words and action, I can only forgive, not forget.",angry
Isn’t it funny how people think you won’t find out about all the shit they have said about you?,angry
Who needs cocaine when human emotions can fuck you up just the same.,angry
"I gave up on you. Not because I don’t care anymore, but because I realized that you don’t.",angry
"If you think your opinion of me has any effect, honey let me assure you that none of my self-worth is wrapped up in what you think of me.",angry
"When we don’t know who to hate, we hate ourselves.",angry
"Never go to bed angry, stay up and fight.",angry
"The strong man is not the good wrestler, the strong man is, only the one who controls himself when he is angry.",angry
It Takes A Lot Of Energy To Get Angry. I Don’T Care To Use My Energy That Way.,angry
"I Will Not Delete You Or Block You. I Am Keeping You There So, You Will Be Able To See How Happy I’M Without You",angry
"Don’t Be So Happy, I Don’T Really Forgive People, I Just Pretend Like It’s Ok And Waits For My Turn To Destroy them.",angry
Some People Need To Open Their Small Minds Instead Of Their Big Mouths.,angry
"If I Delete Your Number, You’Re Basically Deleted From My Life.",angry
Anger repressed can poison a relationship as surely as the cruelest words.,angry
"Anger is never without a reason, but seldom with a good one.",angry
"Go Ahead, Judge Me. Just Remember To Be Perfect For The Rest Of Your Life!!",angry
I Wouldn’t Have To Manage My Anger If People Could Learn To Manage Their Stupidity.,angry
It Sucks When You Realise You Rejected Other People For That One Person Who Wasted Your Time.,angry
"Nobody makes you angry, you decide to use anger as a response.",angry
"All angry persons are to be treated, by the prudent, as children.",angry
"Anger is never without a Reason, but seldom with a good one.",angry
Silence is the best way to react while angry.,angry
"Never go to bed angry, stay awake and plot your revenge!",angry
"When you ask someone if you overreacted, then that’s your heart telling your mind that it was a stupid decision.",angry
"Angry? Take a deep breath before you speak, because your mouth acts quicker than your brain.",angry
The embarrassment after the anger is the biggest humiliation a person can experience.,angry
A moment of patience in a moment of anger saves a thousand moments of regret.,angry
"Never do anything when you are in a temper, for you will do everything wrong.",angry
"Don’t get mad, smile and creep them out instead.",angry
The strong man is not the good wrestler; the strong man is only the one who controls himself when he is angry.,angry
"Anger makes dull men witty, but it keeps them poor.",angry
A man is about as big as the things that make him angry.,angry
Anger repressed can poison a relationship as surely as the cruelest words.,angry
"No matter how long you know someone, they eventually show their true colors.",angry
May I kill you in the morning?,angry
Is getting close to just walking away?,angry
Did you ever just want to slap the stupid out of someone?,angry
"Is singing, if you’re angry & you know it punches their face…",angry
Telling someone to calm down just makes them so much angrier.,angry
"Your mistake is letting me go, my mistake was letting you in.",angry
